Batch,Measure Names,Provinsi,Achievement % Vaksin1,Divaksin 1,Target
MASYARAKAT UMUM & RENTAN,Target,Maluku Utara,,,"609,731"
MASYARAKAT UMUM & RENTAN,Target,Nusa Tenggara Barat,,,"2,655,109"
MASYARAKAT UMUM & RENTAN,Target,Nusa Tenggara Timur,,,"2,408,586"
MASYARAKAT UMUM & RENTAN,Target,Papua,,,"1,689,112"
MASYARAKAT UMUM & RENTAN,Target,Papua Barat,,,"493,762"
MASYARAKAT UMUM & RENTAN,Target,Riau,,,"3,451,350"
MASYARAKAT UMUM & RENTAN,Target,Sulawesi Barat,,,"715,281"
MASYARAKAT UMUM & RENTAN,Target,Sulawesi Selatan,,,"4,571,997"
MASYARAKAT UMUM & RENTAN,Target,Sulawesi Tengah,,,"1,374,811"
MASYARAKAT UMUM & RENTAN,Target,Sulawesi Tenggara,,,"1,281,431"
MASYARAKAT UMUM & RENTAN,Target,Sulawesi Utara,,,"1,359,120"
MASYARAKAT UMUM & RENTAN,Target,Sumatera Barat,,,"2,896,546"
MASYARAKAT UMUM & RENTAN,Target,Sumatera Selatan,,,"4,370,858"
MASYARAKAT UMUM & RENTAN,Target,Sumatera Utara,,,"7,788,393"
MASYARAKAT UMUM & RENTAN,Target,Yogyakarta,,,"1,726,698"
PETUGAS PUBLIK,Target,Aceh,,,"478,489"
PETUGAS PUBLIK,Target,Bali,,,"338,389"
PETUGAS PUBLIK,Target,Bangka Belitung,,,"89,573"
PETUGAS PUBLIK,Target,Banten,,,"456,149"
PETUGAS PUBLIK,Target,Bengkulu,,,"164,190"
PETUGAS PUBLIK,Target,Gorontalo,,,"105,095"
PETUGAS PUBLIK,Target,Jakarta Raya,,,"1,982,757"
PETUGAS PUBLIK,Target,Jambi,,,"236,609"
PETUGAS PUBLIK,Target,Jawa Barat,,,"2,195,338"
PETUGAS PUBLIK,Target,Jawa Tengah,,,"2,214,636"
PETUGAS PUBLIK,Target,Jawa Timur,,,"2,070,774"
PETUGAS PUBLIK,Target,Kalimantan Barat,,,"291,654"
