Batch,Measure Names,Provinsi,Achievement % Vaksin1,Divaksin 1,Target
PETUGAS PUBLIK,Vaksinasi Dosis 1,Maluku Utara,60.28%,"69,344","115,045"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Nusa Tenggara Barat,104.22%,"340,055","326,283"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Nusa Tenggara Timur,83.73%,"336,790","402,222"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Papua,83.78%,"242,896","289,919"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Papua Barat,82.10%,"95,510","116,328"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Riau,138.68%,"484,582","349,418"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Barat,106.27%,"118,644","111,643"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Selatan,127.54%,"885,725","694,477"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Tengah,84.70%,"190,793","225,263"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Tenggara,92.65%,"228,852","247,006"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Utara,215.87%,"420,901","194,979"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sumatera Barat,95.61%,"382,704","400,274"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sumatera Selatan,128.94%,"566,683","439,477"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sumatera Utara,125.61%,"1,105,092","879,798"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Yogyakarta,160.63%,"537,730","334,754"
SDM KESEHATAN,Vaksinasi Dosis 1,Aceh,92.81%,"52,412","56,470"
SDM KESEHATAN,Vaksinasi Dosis 1,Bali,119.08%,"43,874","36,843"
SDM KESEHATAN,Vaksinasi Dosis 1,Bangka Belitung,101.83%,"11,302","11,099"
SDM KESEHATAN,Vaksinasi Dosis 1,Banten,111.33%,"50,728","45,566"
SDM KESEHATAN,Vaksinasi Dosis 1,Bengkulu,93.78%,"14,509","15,471"
SDM KESEHATAN,Vaksinasi Dosis 1,Gorontalo,91.54%,"7,844","8,569"
SDM KESEHATAN,Vaksinasi Dosis 1,Jakarta Raya,125.46%,"140,898","112,301"
SDM KESEHATAN,Vaksinasi Dosis 1,Jambi,96.39%,"22,857","23,714"
SDM KESEHATAN,Vaksinasi Dosis 1,Jawa Barat,107.72%,"195,722","181,701"
SDM KESEHATAN,Vaksinasi Dosis 1,Jawa Tengah,111.88%,"184,516","164,917"
SDM KESEHATAN,Vaksinasi Dosis 1,Jawa Timur,115.81%,"219,925","189,907"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Barat,115.10%,"28,799","25,020"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Selatan,101.44%,"26,957","26,575"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Tengah,104.19%,"20,761","19,927"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Timur,110.81%,"31,267","28,218"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Utara,95.85%,"6,797","7,091"
