Provinsi,Tanggal,Running Sum of divaksin2 (ribu)
Jakarta Raya,3/18/2021,184.537
Jakarta Raya,3/19/2021,203.58
Jakarta Raya,3/20/2021,207.608
Jakarta Raya,3/21/2021,208.6
Jakarta Raya,3/22/2021,233.825
Jakarta Raya,3/23/2021,263.969
Jakarta Raya,3/24/2021,299.262
Jakarta Raya,3/25/2021,316.276
Jakarta Raya,3/26/2021,348.394
Jakarta Raya,3/27/2021,356.401
Jakarta Raya,3/28/2021,358.378
Jakarta Raya,3/29/2021,392.656
Jakarta Raya,3/30/2021,430.091
Jakarta Raya,3/31/2021,464.292
Jakarta Raya,4/1/2021,491.604
Jakarta Raya,4/2/2021,492.818
Jakarta Raya,4/3/2021,498.789
Jakarta Raya,4/4/2021,502.615
Jakarta Raya,4/5/2021,547.496
Jakarta Raya,4/6/2021,585.997
Jakarta Raya,4/7/2021,627.049
Jakarta Raya,4/8/2021,649.085
Jakarta Raya,4/9/2021,681.954
Jakarta Raya,4/10/2021,692.42
Jakarta Raya,4/11/2021,702.271
Jakarta Raya,4/12/2021,734.053
Jakarta Raya,4/13/2021,754.185
Jakarta Raya,4/14/2021,788.506
Jakarta Raya,4/15/2021,818.932
Jakarta Raya,4/16/2021,845.481
Jakarta Raya,4/17/2021,853.718
Jakarta Raya,4/18/2021,861.908
Jakarta Raya,4/19/2021,899.087
Jakarta Raya,4/20/2021,932.973
Jakarta Raya,4/21/2021,965.922
Jakarta Raya,4/22/2021,"1,000.535"
Jakarta Raya,4/23/2021,"1,033.066"
Jakarta Raya,4/24/2021,"1,050.966"
Jakarta Raya,4/25/2021,"1,063.314"
Jambi,1/13/2021,0
Jambi,1/14/2021,0
Jambi,1/15/2021,0
Jambi,1/16/2021,0
Jambi,1/17/2021,0
Jambi,1/18/2021,0
Jambi,1/19/2021,0
Jambi,1/20/2021,0
Jambi,1/21/2021,0
Jambi,1/22/2021,0
Jambi,1/23/2021,0
Jambi,1/24/2021,0
Jambi,1/25/2021,0
Jambi,1/26/2021,0
Jambi,1/27/2021,0
Jambi,1/28/2021,0.266
Jambi,1/29/2021,0.445
Jambi,1/30/2021,0.637
Jambi,1/31/2021,0.663
Jambi,2/1/2021,1.083
Jambi,2/2/2021,1.493
Jambi,2/3/2021,1.898
Jambi,2/4/2021,2.301
Jambi,2/5/2021,2.558
Jambi,2/6/2021,2.743
Jambi,2/7/2021,2.743
Jambi,2/8/2021,2.959
Jambi,2/9/2021,3.176
Jambi,2/10/2021,3.419
Jambi,2/11/2021,3.974
Jambi,2/12/2021,4.09
Jambi,2/13/2021,4.518
Jambi,2/14/2021,4.52
Jambi,2/15/2021,4.927
Jambi,2/16/2021,5.616
Jambi,2/17/2021,6.512
Jambi,2/18/2021,7.895
Jambi,2/19/2021,9.154
Jambi,2/20/2021,10.311
Jambi,2/21/2021,10.313
Jambi,2/22/2021,11.365
Jambi,2/23/2021,12.395
Jambi,2/24/2021,13.342
Jambi,2/25/2021,14.088
Jambi,2/26/2021,14.166
Jambi,2/27/2021,14.466
Jambi,2/28/2021,14.467
Jambi,3/1/2021,15.019
Jambi,3/2/2021,15.342
Jambi,3/3/2021,15.809
Jambi,3/4/2021,16.495
Jambi,3/5/2021,16.811
Jambi,3/6/2021,17.217
Jambi,3/7/2021,17.228
Jambi,3/8/2021,17.651
Jambi,3/9/2021,18.066
Jambi,3/10/2021,18.441
Jambi,3/11/2021,18.452
Jambi,3/12/2021,18.744
Jambi,3/13/2021,18.971
Jambi,3/14/2021,18.972
Jambi,3/15/2021,19.254
Jambi,3/16/2021,19.548
Jambi,3/17/2021,19.922
Jambi,3/18/2021,20.324
Jambi,3/19/2021,20.792
Jambi,3/20/2021,21.342
Jambi,3/21/2021,21.354
Jambi,3/22/2021,22.265
Jambi,3/23/2021,23.854
Jambi,3/24/2021,25.643
Jambi,3/25/2021,26.824
Jambi,3/26/2021,27.478
Jambi,3/27/2021,27.795
Jambi,3/28/2021,27.8
Jambi,3/29/2021,29.246
Jambi,3/30/2021,30.72
Jambi,3/31/2021,32.064
Jambi,4/1/2021,33.705
Jambi,4/2/2021,33.779
Jambi,4/3/2021,34.617
Jambi,4/4/2021,34.641
Jambi,4/5/2021,36.797
Jambi,4/6/2021,38.959
Jambi,4/7/2021,40.892
Jambi,4/8/2021,42.161
Jambi,4/9/2021,43.195
Jambi,4/10/2021,44.195
Jambi,4/11/2021,44.196
Jambi,4/12/2021,45.959
Jambi,4/13/2021,47.443
Jambi,4/14/2021,49.062
Jambi,4/15/2021,50.947
Jambi,4/16/2021,51.37
Jambi,4/17/2021,52.52
Jambi,4/18/2021,52.576
Jambi,4/19/2021,54.352
Jambi,4/20/2021,56.285
Jambi,4/21/2021,58.423
Jambi,4/22/2021,60.082
Jambi,4/23/2021,61.706
Jambi,4/24/2021,63.102
Jambi,4/25/2021,63.103
Jawa Barat,1/13/2021,0
Jawa Barat,1/14/2021,0
Jawa Barat,1/15/2021,0
Jawa Barat,1/16/2021,0.001
Jawa Barat,1/17/2021,0.001
Jawa Barat,1/18/2021,0.001
Jawa Barat,1/19/2021,0.001
Jawa Barat,1/20/2021,0.022
Jawa Barat,1/21/2021,0.034
Jawa Barat,1/22/2021,0.037
