Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Manggarai Timur,Nusa Tenggara Timur,6.824696579,Polygon,Divaksin 1,-8.524456962,120.693446829,"13,428","196,756","3,248,595"
Manokwari,Papua Barat,33.962463175,MultiPolygon,Divaksin 1,-1.025652775,133.805437402,"45,076","132,723","797,402"
Mappi,Papua,15.062287656,MultiPolygon,Divaksin 1,-6.900117569,138.753636460,"7,980","52,980","2,583,771"
Maros,Sulawesi Selatan,19.310453106,Polygon,Divaksin 1,-5.002593865,119.696335465,"57,807","299,356","7,058,141"
Mataram,Nusa Tenggara Barat,52.230151085,Polygon,Divaksin 1,-8.597296083,116.125361317,"164,830","315,584","3,910,638"
Maybrat,Papua Barat,4.349718621,Polygon,Divaksin 1,-1.322640672,132.343990049,"1,399","32,163","669,488"
Melawi,Kalimantan Barat,10.560141969,Polygon,Divaksin 1,-0.653097880,111.791427446,"17,614","166,797","3,872,477"
Merangin,Jambi,11.686001372,Polygon,Divaksin 1,-2.198842280,101.815477300,"31,006","265,326","2,686,193"
Merauke,Papua,37.411898507,MultiPolygon,Divaksin 1,-7.946111484,139.068480750,"46,711","124,856","2,583,771"
Mesuji,Lampung,5.211892959,Polygon,Divaksin 1,-4.027772028,105.355018205,"8,663","166,216","6,645,226"
Metro,Lampung,23.159902545,Polygon,Divaksin 1,-5.108814008,105.315033498,"28,898","124,776","6,645,226"
Mimika,Papua,33.033655661,MultiPolygon,Divaksin 1,-4.671843521,136.421253090,"56,879","172,185","2,583,771"
Minahasa,Sulawesi Utara,27.904969904,Polygon,Divaksin 1,1.266914659,124.828474234,"78,579","281,595","2,080,685"
Minahasa Selatan,Sulawesi Utara,30.096743685,MultiPolygon,Divaksin 1,1.134117157,124.508946244,"56,962","189,263","2,080,685"
Minahasa Tenggara,Sulawesi Utara,28.788752384,MultiPolygon,Divaksin 1,0.937811000,124.772426344,"25,964","90,188","2,080,685"
Minahasa Utara,Sulawesi Utara,20.937570052,MultiPolygon,Divaksin 1,1.651382470,124.986863168,"37,361","178,440","2,080,685"
Mojokerto,Jawa Timur,20.135206801,MultiPolygon,Divaksin 1,-7.505930824,112.460442168,"194,015","963,561","31,826,206"
Morowali,Sulawesi Tengah,17.285192996,MultiPolygon,Divaksin 1,-2.397609475,121.786761939,"19,753","114,277","1,821,298"
Muara Enim,Sumatera Selatan,14.830681626,MultiPolygon,Divaksin 1,-3.612649365,104.004495601,"66,779","450,276","6,303,096"
Muaro Jambi,Jambi,18.371543229,Polygon,Divaksin 1,-1.645507137,103.492808186,"55,485","302,016","2,686,193"
Mukomuko,Bengkulu,9.715677969,Polygon,Divaksin 1,-2.650783299,101.467680224,"13,877","142,831","1,553,792"
Muna,Sulawesi Tenggara,15.355922237,MultiPolygon,Divaksin 1,-4.830113176,122.588399785,"25,071","163,266","2,002,579"
Murung Raya,Kalimantan Tengah,28.742817909,Polygon,Divaksin 1,0.271420419,114.377704948,"23,862","83,019","1,752,528"
Musi Banyuasin,Sumatera Selatan,12.768642795,Polygon,Divaksin 1,-2.455715219,103.628633317,"57,565","450,831","6,303,096"
Musi Rawas,Sumatera Selatan,12.327508771,Polygon,Divaksin 1,-2.909968863,102.896168939,"36,368","295,015","6,303,096"
Nabire,Papua,20.513129235,MultiPolygon,Divaksin 1,-3.054109338,135.365897808,"18,741","91,361","2,583,771"
Nagan Raya,Aceh,17.943442779,Polygon,Divaksin 1,4.070022064,96.508313424,"23,636","131,725","4,028,891"
Nagekeo,Nusa Tenggara Timur,9.440088162,Polygon,Divaksin 1,-8.695985186,121.264235668,"11,136","117,965","3,248,595"
Natuna,Kepulauan Riau,66.370826152,MultiPolygon,Divaksin 1,3.543565250,108.340625195,"41,205","62,083","1,581,035"
Nduga,Papua,0.505899748,Polygon,Divaksin 1,-4.404680215,138.348049726,349,"68,986","1,998,560"
Ngada,Nusa Tenggara Timur,9.337763986,MultiPolygon,Divaksin 1,-8.608388735,120.990490800,"11,465","122,781","3,831,439"
Nganjuk,Jawa Timur,19.307024093,Polygon,Divaksin 1,-7.585765722,111.938144154,"166,804","863,955","31,826,206"
Ngawi,Jawa Timur,20.371844489,Polygon,Divaksin 1,-7.430929563,111.345767444,"140,756","690,934","31,826,206"
Nias,Sumatera Utara,5.915994326,MultiPolygon,Divaksin 1,1.033434076,97.734198265,"6,548","110,683","9,832,695"
Nias Barat,Sumatera Utara,8.460618742,MultiPolygon,Divaksin 1,0.929273920,97.453140741,"5,661","66,910","9,832,695"
Nias Selatan,Sumatera Utara,4.538177098,MultiPolygon,Divaksin 1,0.033467692,98.294452205,"12,727","280,443","11,419,559"
Nias Utara,Sumatera Utara,5.745069231,MultiPolygon,Divaksin 1,1.384936301,97.264794469,"6,452","112,305","9,832,695"
Nunukan,Kalimantan Timur,,MultiPolygon,Divaksin 1,3.998379756,117.163342748,,,
Ogan Ilir,Sumatera Selatan,11.808198502,Polygon,Divaksin 1,-3.385395249,104.633372448,"36,301","307,422","5,456,413"
Ogan Komering Ilir,Sumatera Selatan,9.068572318,MultiPolygon,Divaksin 1,-3.561109457,105.122843659,"52,410","577,930","6,303,096"
Ogan Komering Ulu,Sumatera Selatan,17.064695968,Polygon,Divaksin 1,-4.053797729,104.189879522,"46,067","269,955","6,303,096"
Ogan Komering Ulu Selatan,Sumatera Selatan,9.454431645,Polygon,Divaksin 1,-4.701149550,104.009262316,"29,604","313,123","6,303,096"
Ogan Komering Ulu Timur,Sumatera Selatan,9.510067046,Polygon,Divaksin 1,-4.119036205,104.571726973,"46,596","489,965","6,303,096"
Pacitan,Jawa Timur,11.955581042,MultiPolygon,Divaksin 1,-8.159725057,111.180637870,"56,501","472,591","31,826,206"
